"vars","id","value"
"home_team_name_21",1,"282"
"home_team_name_21",1,"282"
"home_team_name_21",2,"267"
"home_team_name_21",2,"267"
"home_team_name_21",3,"262"
"home_team_name_21",4,"263"
"home_team_name_21",5,"275"
"home_team_name_21",6,"277"
"home_team_name_21",7,"264"
"home_team_name_21",8,"284"
"home_team_name_21",9,"292"
"home_team_name_21",10,"294"
"home_team_name_21",11,"356"
"home_team_name_21",11,"356"
"home_team_name_21",12,"290"
"away_team_name_21",1,"293"
"away_team_name_21",1,"293"
"away_team_name_21",2,"356"
"away_team_name_21",2,"356"
"away_team_name_21",3,"373"
"away_team_name_21",4,"280"
"away_team_name_21",5,"266"
"away_team_name_21",6,"285"
"away_team_name_21",7,"282"
"away_team_name_21",7,"282"
"away_team_name_21",8,"354"
"away_team_name_21",9,"267"
"away_team_name_21",9,"267"
"away_team_name_21",10,"265"
"away_team_name_21",11,"276"
"away_team_name_21",12,"293"
"away_team_name_21",12,"293"
"home_strength_21",1,"0.82"
"home_strength_21",1,"0.82"
"home_strength_21",2,"-0.41"
"home_strength_21",2,"-0.41"
"home_strength_21",3,"0.82"
"home_strength_21",4,"-0.95"
"home_strength_21",5,"0.44"
"home_strength_21",6,"0"
"home_strength_21",7,"0.35"
"home_strength_21",8,"0.51"
"home_strength_21",9,"-0.57"
"home_strength_21",10,"-0.71"
"home_strength_21",11,"-0.54"
"home_strength_21",11,"-0.54"
"home_strength_21",12,"-0.36"
"away_strength_21",1,"0.75"
"away_strength_21",1,"0.75"
"away_strength_21",2,"-0.54"
"away_strength_21",2,"-0.54"
"away_strength_21",3,"0.3"
"away_strength_21",4,"0.98"
"away_strength_21",5,"0.76"
"away_strength_21",6,"1.02"
"away_strength_21",7,"0.82"
"away_strength_21",7,"0.82"
"away_strength_21",8,"0.39"
"away_strength_21",9,"-0.41"
"away_strength_21",9,"-0.41"
"away_strength_21",10,"0.24"
"away_strength_21",11,"0.6"
"away_strength_21",12,"0.75"
"away_strength_21",12,"0.75"
"home_attack_21",1,"1.6"
"home_attack_21",1,"1.6"
"home_attack_21",2,"0.96"
"home_attack_21",2,"0.96"
"home_attack_21",3,"1.82"
"home_attack_21",4,"0.76"
"home_attack_21",5,"1.15"
"home_attack_21",6,"1.19"
"home_attack_21",7,"1.1"
"home_attack_21",8,"1.41"
"home_attack_21",9,"0.73"
"home_attack_21",10,"0.81"
"home_attack_21",11,"0.81"
"home_attack_21",11,"0.81"
"home_attack_21",12,"1.11"
"away_attack_21",1,"1.15"
"away_attack_21",1,"1.15"
"away_attack_21",2,"0.81"
"away_attack_21",2,"0.81"
"away_attack_21",3,"1.23"
"away_attack_21",4,"1.28"
"away_attack_21",5,"1.41"
"away_attack_21",6,"1.49"
"away_attack_21",7,"1.6"
"away_attack_21",7,"1.6"
"away_attack_21",8,"1.43"
"away_attack_21",9,"0.96"
"away_attack_21",9,"0.96"
"away_attack_21",10,"1.32"
"away_attack_21",11,"1.44"
"away_attack_21",12,"1.15"
"away_attack_21",12,"1.15"
"home_defense_21",1,"1.11"
"home_defense_21",1,"1.11"
"home_defense_21",2,"0.78"
"home_defense_21",2,"0.78"
"home_defense_21",3,"0.97"
"home_defense_21",4,"0.68"
"home_defense_21",5,"1.19"
"home_defense_21",6,"0.84"
"home_defense_21",7,"1.16"
"home_defense_21",8,"1.01"
"home_defense_21",9,"0.92"
"home_defense_21",10,"0.76"
"home_defense_21",11,"0.85"
"home_defense_21",11,"0.85"
"home_defense_21",12,"0.7"
"away_defense_21",1,"1.46"
"away_defense_21",1,"1.46"
"away_defense_21",2,"0.85"
"away_defense_21",2,"0.85"
"away_defense_21",3,"1"
"away_defense_21",4,"1.55"
"away_defense_21",5,"1.2"
"away_defense_21",6,"1.36"
"away_defense_21",7,"1.11"
"away_defense_21",7,"1.11"
"away_defense_21",8,"0.92"
"away_defense_21",9,"0.78"
"away_defense_21",9,"0.78"
"away_defense_21",10,"0.89"
"away_defense_21",11,"1.05"
"away_defense_21",12,"1.46"
"away_defense_21",12,"1.46"
"home_scoring.odds_21",1,"81"
"home_scoring.odds_21",1,"85"
"home_scoring.odds_21",2,"50"
"home_scoring.odds_21",2,"62"
"home_scoring.odds_21",3,"84"
"home_scoring.odds_21",4,"62"
"home_scoring.odds_21",5,"70"
"home_scoring.odds_21",6,"71"
"home_scoring.odds_21",7,"66"
"home_scoring.odds_21",8,"77"
"home_scoring.odds_21",9,"66"
"home_scoring.odds_21",10,"69"
"home_scoring.odds_21",11,"48"
"home_scoring.odds_21",11,"68"
"home_scoring.odds_21",12,"65"
"away_scoring.odds_21",1,"56"
"away_scoring.odds_21",1,"70"
"away_scoring.odds_21",2,"48"
"away_scoring.odds_21",2,"68"
"away_scoring.odds_21",3,"66"
"away_scoring.odds_21",4,"69"
"away_scoring.odds_21",5,"72"
"away_scoring.odds_21",6,"80"
"away_scoring.odds_21",7,"81"
"away_scoring.odds_21",7,"85"
"away_scoring.odds_21",8,"59"
"away_scoring.odds_21",9,"50"
"away_scoring.odds_21",9,"62"
"away_scoring.odds_21",10,"75"
"away_scoring.odds_21",11,"68"
"away_scoring.odds_21",12,"56"
"away_scoring.odds_21",12,"70"
