ID,Nome,Abreviacao,Slug
262,flamengo,FLA,flamengo
263,botafogo,BOT,botafogo
264,corinthians,COR,corinthians
265,bahia,BAH,bahia
266,fluminense,FLU,fluminense
275,palmeiras,PAL,palmeiras
276,são paulo,SAO,sao-paulo
277,santos,SAN,santos
282,atlético-mg,CAM,atletico-mg
283,cruzeiro,CRU,cruzeiro
284,grêmio,GRE,gremio
285,internacional,INT,internacional
287,vitória,VIT,vitoria
288,criciúma,CRI,criciuma
290,goiás,GOI,goias
292,sport,SPO,sport
293,atlético-pr,CAP,atletico-pr
294,coritiba,CFC,coritiba
315,chapecoense,CHA,chapecoense
316,figueirense,FIG,figueirense
