ID,Nome,Abreviacao,slug
317,joinville,jec,joinville
290,goiás,goi,goias
294,coritiba,cor,coritiba
292,sport,spo,sport
293,atlético-pr,atl,atletico-pr
262,flamengo,fla,flamengo
264,corinthians,cor,corinthians
314,avaí,ava,avai
266,fluminense,flu,fluminense
267,vasco,vas,vasco
303,ponte preta,pon,ponte-preta
275,palmeiras,pal,palmeiras
276,são paulo,sao,sao-paulo
277,santos,san,santos
316,figueirense,fig,figueirense
315,chapecoense,cha,chapecoense
282,atlético-mg,atl,atletico-mg
283,cruzeiro,cru,cruzeiro
284,grêmio,gre,gremio
285,internacional,int,internacional
