"","Cod","nome.completo","nome","pos"
"1",262,"Flamengo","FLA","6"
"2",263,"Botafogo","BOT","20"
"3",264,"Corinthians","COR","4"
"4",266,"Fluminense","FLU","11"
"5",275,"Palmeiras","PAL","2"
"6",276,"São Paulo","SAO","7"
"7",277,"Santos","SAN","5"
"8",282,"Atlético-MG","ATL","17"
"9",283,"Cruzeiro","CRU","15"
"10",284,"Grêmio","GRE","3"
"11",285,"Internacional","INT","1"
"12",287,"Vitória","VIT","13"
"13",292,"Sport","SPO","18"
"14",293,"Atlético-PR","ATL","9"
"15",294,"Coritiba","COR","16"
"16",303,"Ponte Preta","PON","8"
"17",315,"Chapecoense","CHA","10"
"18",316,"Figueirense","FIG","12"
"19",327,"América-MG","AME","19"
"20",344,"Santa Cruz","STC","14"
