"Cod","nome.completo","nome","pos","sort(unique(matches$home_team))"
"373","Atlético-GO","ATL","16","Atlético - GO"
"282","Atlético-MG","ATL","17","Atlético - MG"
"293","Atlético-PR","ATL","20","Atlético - PR"
"314","Avaí","AVA","19","Avaí - SC"
"265","Bahia","BAH","11","Bahia - BA"
"263","Botafogo","BOT","13","Botafogo - RJ"
"315","Chapecoense","CHA","4","Chapecoense - SC"
"264","Corinthians","COR","1","Corinthians - SP"
"294","Coritiba","COR","3","Coritiba - PR"
"283","Cruzeiro","CRU","8","Cruzeiro - MG"
"262","Flamengo","FLA","10","Flamengo - RJ"
"266","Fluminense","FLU","7","Fluminense - RJ"
"284","Grêmio","GRE","2","Grêmio - RS"
"275","Palmeiras","PAL","15","Palmeiras - SP"
"303","Ponte Preta","PON","9","Ponte Preta - SP"
"277","Santos","SAN","5","Santos - SP"
"276","São Paulo","SAO","6","São Paulo - SP"
"292","Sport","SPO","14","Sport - PE"
"267","Vasco","VAS","12","Vasco da Gama - RJ"
"287","Vitória","VIT","18","Vitória - BA"
