nome.completo,Cod
America MG,327
America RN,200
Atletico GO,201
Atletico Mineiro,282
Atletico Paranaense,293
Avai FC,202
Botafogo RJ,263
Brasiliense,203
Ceara SC,204
Chapecoense,315
Clube Nautico,205
Corinthians SP,264
Coritiba FC,294
Criciuma EC,206
Cruzeiro EC,283
EC Bahia,207
EC Vitoria BA,287
Figueirense,316
Flamengo RJ,262
Fluminense RJ,266
Fortaleza,209
Goias EC,210
Gremio Barueri,211
Gremio Porto Alegre,284
Gremio Prudente,212
Guarani FC,213
Internacional,285
Ipatinga FC,214
Joinville EC,215
Juventude RS,216
Parana Clube,217
Paysandu SC,218
Ponte Preta,303
Portuguesa,219
Santa Cruz FC,344
Santo Andre EC,220
Santos FC,277
Sao Caetano,221
Sao Paulo FC,276
SE Palmeiras,275
Sport Club Recife,292
Vasco da Gama,221
